positive  	UNI_fireside:1 UNI_cafe:1 UNI_wonderful:1 UNI_homestyle:1 UNI_cooking:1 UNI_great:1 UNI_service:1 UNI_home:1 UNI_like:1 UNI_atmosphere:1 BIGRAM_fireside_cafe:1 BIGRAM_cafe_wonderful:1 BIGRAM_wonderful_homestyle:1 BIGRAM_homestyle_cooking:1 BIGRAM_cooking_great:1 BIGRAM_great_service:1 BIGRAM_service_home:1 BIGRAM_home_like:1 BIGRAM_like_atmosphere:1 
positive  	UNI_upscale:1 UNI_food:1 UNI_service:1 UNI_relaxed:1 UNI_atmosphere:1 UNI_wonderful:3 UNI_view:1 UNI_lake:1 UNI_front:1 UNI_need:1 UNI_hotel:1 UNI_accommodations:1 UNI_manteo:1 BIGRAM_upscale_food:1 BIGRAM_food_service:1 BIGRAM_service_relaxed:1 BIGRAM_relaxed_atmosphere:1 BIGRAM_atmosphere_wonderful:1 BIGRAM_wonderful_view:1 BIGRAM_view_lake:1 BIGRAM_lake_front:1 BIGRAM_front_need:1 BIGRAM_need_hotel:1 BIGRAM_hotel_accommodations:1 BIGRAM_accommodations_manteo:1 BIGRAM_manteo_wonderful:1 
positive  	UNI_******excellent:1 UNI_everything****:1 UNI_highly:1 UNI_recommend:1 UNI_establishment:1 UNI_back:1 BIGRAM_******excellent_everything****:1 BIGRAM_everything****_highly:1 BIGRAM_highly_recommend:1 BIGRAM_recommend_establishment:1 BIGRAM_establishment_back:1 
positive  	UNI_see:1 UNI_la:3 UNI_tour:3 UNI_quickly:3 UNI_gained:1 UNI_reputation:1 UNI_chefs:1 UNI_go:1 UNI_eat:1 UNI_food:3 UNI_quality:1 UNI_excellent:3 UNI_complimented:1 UNI_wine:3 UNI_list:3 UNI_spectator:1 UNI_award:1 UNI_winning:1 UNI_interior:1 UNI_decor:1 UNI_warm:1 UNI_contemporary:1 UNI_overall:1 UNI_dining:1 UNI_experience:1 UNI_become:1 UNI_favorite:1 UNI_restaurant:3 UNI_vail:3 UNI_wonder:1 UNI_voted:1 UNI_best:3 UNI_french:1 UNI_valley:1 UNI_regardless:1 UNI_price:1 UNI_amazing:1 UNI_service:1 UNI_daily:1 UNI_reader:1 UNI_'s:1 UNI_poll:1 BIGRAM_see_la:1 BIGRAM_la_tour:3 BIGRAM_tour_quickly:3 BIGRAM_quickly_gained:1 BIGRAM_gained_reputation:1 BIGRAM_reputation_chefs:1 BIGRAM_chefs_go:1 BIGRAM_go_eat:1 BIGRAM_eat_food:1 BIGRAM_food_quality:1 BIGRAM_quality_excellent:1 BIGRAM_excellent_complimented:1 BIGRAM_complimented_excellent:1 BIGRAM_excellent_wine:1 BIGRAM_wine_list:1 BIGRAM_list_wine:1 BIGRAM_wine_spectator:1 BIGRAM_spectator_award:1 BIGRAM_award_winning:1 BIGRAM_winning_list:1 BIGRAM_list_interior:1 BIGRAM_interior_decor:1 BIGRAM_decor_warm:1 BIGRAM_warm_contemporary:1 BIGRAM_contemporary_excellent:1 BIGRAM_excellent_overall:1 BIGRAM_overall_dining:1 BIGRAM_dining_experience:1 BIGRAM_experience_la:1 BIGRAM_quickly_become:1 BIGRAM_become_favorite:1 BIGRAM_favorite_restaurant:1 BIGRAM_restaurant_vail:3 BIGRAM_vail_wonder:1 BIGRAM_wonder_voted:1 BIGRAM_voted_best:1 BIGRAM_best_french:1 BIGRAM_french_restaurant:1 BIGRAM_vail_valley:1 BIGRAM_valley_best:1 BIGRAM_best_food:1 BIGRAM_food_regardless:1 BIGRAM_regardless_price:1 BIGRAM_price_amazing:1 BIGRAM_amazing_restaurant:1 BIGRAM_restaurant_service:1 BIGRAM_service_vail:1 BIGRAM_vail_daily:1 BIGRAM_daily_reader:1 BIGRAM_reader_'s:1 BIGRAM_'s_poll:1 
positive  	UNI_pleasant:1 UNI_atmosphere:1 UNI_made:1 UNI_feel:1 UNI_welcome:1 UNI_without:1 UNI_imposed:1 UNI_upon:1 UNI_waitress:1 BIGRAM_pleasant_atmosphere:1 BIGRAM_atmosphere_made:1 BIGRAM_made_feel:1 BIGRAM_feel_welcome:1 BIGRAM_welcome_without:1 BIGRAM_without_imposed:1 BIGRAM_imposed_upon:1 BIGRAM_upon_waitress:1 
positive  	UNI_'ve:1 UNI_mallorca:1 UNI_many:1 UNI_times:1 UNI_always:1 UNI_pleasant:1 UNI_experience:1 UNI_food:1 UNI_wonderful:1 UNI_wait:1 UNI_staff:1 UNI_attentive:1 UNI_prices:1 UNI_reasonable:1 UNI_one:1 UNI_favorite:1 UNI_restaurants:1 BIGRAM_'ve_mallorca:1 BIGRAM_mallorca_many:1 BIGRAM_many_times:1 BIGRAM_times_always:1 BIGRAM_always_pleasant:1 BIGRAM_pleasant_experience:1 BIGRAM_experience_food:1 BIGRAM_food_wonderful:1 BIGRAM_wonderful_wait:1 BIGRAM_wait_staff:1 BIGRAM_staff_attentive:1 BIGRAM_attentive_prices:1 BIGRAM_prices_reasonable:1 BIGRAM_reasonable_one:1 BIGRAM_one_favorite:1 BIGRAM_favorite_restaurants:1 
positive  	UNI_beautiful:1 UNI_restored:1 UNI_victorian:1 UNI_inn:1 UNI_amazing:1 UNI_food:1 UNI_organic:1 UNI_local:1 UNI_seasonal..:1 UNI_oysters:1 UNI_die:1 UNI_staff:1 UNI_friendly:1 UNI_accomodating:1 UNI_recomended:1 UNI_great:1 UNI_place:3 UNI_breakfast:1 UNI_hike:1 UNI_n't:1 UNI_miss:1 UNI_find:1 BIGRAM_beautiful_restored:1 BIGRAM_restored_victorian:1 BIGRAM_victorian_inn:1 BIGRAM_inn_amazing:1 BIGRAM_amazing_food:1 BIGRAM_food_organic:1 BIGRAM_organic_local:1 BIGRAM_local_seasonal..:1 BIGRAM_seasonal.._oysters:1 BIGRAM_oysters_die:1 BIGRAM_die_staff:1 BIGRAM_staff_friendly:1 BIGRAM_friendly_accomodating:1 BIGRAM_accomodating_recomended:1 BIGRAM_recomended_great:1 BIGRAM_great_place:1 BIGRAM_place_breakfast:1 BIGRAM_breakfast_hike:1 BIGRAM_hike_n't:1 BIGRAM_n't_miss:1 BIGRAM_miss_place:1 BIGRAM_place_find:1 
positive  	UNI_high-end:1 UNI_restaurants:1 UNI_one:1 UNI_ranks:1 UNI_well:1 UNI_service:1 UNI_impeccable:1 UNI_swift:1 UNI_food:3 UNI_delicious:1 UNI_ordered:1 UNI_cafe:1 UNI_diablo:1 UNI_less:1 UNI_expected:1 UNI_replaced:1 UNI_another:1 UNI_coffee:1 UNI_problem:1 UNI_prices:1 UNI_little:1 UNI_steep:1 UNI_lighting:1 UNI_could:1 UNI_use:1 UNI_nudge:1 UNI_ambiance:1 UNI_mean:1 UNI_inability:1 UNI_see:1 UNI_overall:1 UNI_pleasant:1 UNI_dining:1 UNI_experience:1 BIGRAM_high-end_restaurants:1 BIGRAM_restaurants_one:1 BIGRAM_one_ranks:1 BIGRAM_ranks_well:1 BIGRAM_well_service:1 BIGRAM_service_impeccable:1 BIGRAM_impeccable_swift:1 BIGRAM_swift_food:1 BIGRAM_food_delicious:1 BIGRAM_delicious_ordered:1 BIGRAM_ordered_cafe:1 BIGRAM_cafe_diablo:1 BIGRAM_diablo_less:1 BIGRAM_less_expected:1 BIGRAM_expected_replaced:1 BIGRAM_replaced_another:1 BIGRAM_another_coffee:1 BIGRAM_coffee_problem:1 BIGRAM_problem_prices:1 BIGRAM_prices_little:1 BIGRAM_little_steep:1 BIGRAM_steep_lighting:1 BIGRAM_lighting_could:1 BIGRAM_could_use:1 BIGRAM_use_nudge:1 BIGRAM_nudge_ambiance:1 BIGRAM_ambiance_mean:1 BIGRAM_mean_inability:1 BIGRAM_inability_see:1 BIGRAM_see_food:1 BIGRAM_food_overall:1 BIGRAM_overall_pleasant:1 BIGRAM_pleasant_dining:1 BIGRAM_dining_experience:1 
positive  	UNI_well:1 UNI_worth:1 UNI_free:1 UNI_ferry:1 UNI_ride:1 UNI_hatteras:1 UNI_great:1 UNI_sandwiches:1 UNI_ample:1 UNI_amount:1 UNI_good:1 UNI_fries:1 UNI_waiter:1 UNI_excellent:1 UNI_atmosphere:1 UNI_nice:1 UNI_open:1 UNI_lots:1 UNI_neat:1 UNI_stuff:1 UNI_walls:1 BIGRAM_well_worth:1 BIGRAM_worth_free:1 BIGRAM_free_ferry:1 BIGRAM_ferry_ride:1 BIGRAM_ride_hatteras:1 BIGRAM_hatteras_great:1 BIGRAM_great_sandwiches:1 BIGRAM_sandwiches_ample:1 BIGRAM_ample_amount:1 BIGRAM_amount_good:1 BIGRAM_good_fries:1 BIGRAM_fries_waiter:1 BIGRAM_waiter_excellent:1 BIGRAM_excellent_atmosphere:1 BIGRAM_atmosphere_nice:1 BIGRAM_nice_open:1 BIGRAM_open_lots:1 BIGRAM_lots_neat:1 BIGRAM_neat_stuff:1 BIGRAM_stuff_walls:1 
positive  	UNI_want:3 UNI_great:3 UNI_pizza:3 UNI_place:1 UNI_go:1 UNI_texas:3 UNI_far:1 UNI_'m:1 UNI_concerned:1 UNI_eat:1 UNI_often:3 UNI_philly:1 UNI_rarely:1 UNI_one:1 UNI_find:1 UNI_high:1 UNI_quality:1 UNI_anywhere:1 UNI_let:1 UNI_alone:1 UNI_crust:1 UNI_light:1 UNI_flavorful:1 UNI_hand:1 UNI_tossed:1 UNI_mama:3 UNI_'s:3 UNI_sauce:1 UNI_n't:3 UNI_leave:1 UNI_heartburn:1 UNI_use:3 UNI_four:1 UNI_cheeses:1 UNI_pizzas:3 UNI_corners:1 UNI_cut:1 UNI_menu:1 UNI_includes:1 UNI_tasty:1 UNI_white:1 UNI_including:1 UNI_margherita:1 UNI_pesto:1 UNI_using:1 UNI_fresh:1 UNI_balsi:1 UNI_leaves:1 UNI_world:1 UNI_salads:1 UNI_cheap:1 UNI_good:1 UNI_mix:1 UNI_lettuces:1 UNI_greens:1 UNI_also:1 UNI_calzone:1 UNI_stromboli:1 UNI_addition:1 UNI_live:1 UNI_jazz:1 UNI_deck:1 UNI_back:1 UNI_middle:1 UNI_week:1 UNI_gulf:1 UNI_coast:1 UNI_amazing:1 UNI_make:1 UNI_trip:1 UNI_wo:1 UNI_disappointed:1 BIGRAM_want_great:1 BIGRAM_great_pizza:1 BIGRAM_pizza_place:1 BIGRAM_place_go:1 BIGRAM_go_texas:1 BIGRAM_texas_far:1 BIGRAM_far_'m:1 BIGRAM_'m_concerned:1 BIGRAM_concerned_eat:1 BIGRAM_eat_pizza:1 BIGRAM_pizza_often:1 BIGRAM_often_philly:1 BIGRAM_philly_rarely:1 BIGRAM_rarely_one:1 BIGRAM_one_find:1 BIGRAM_find_high:1 BIGRAM_high_quality:1 BIGRAM_quality_pizza:1 BIGRAM_pizza_anywhere:1 BIGRAM_anywhere_let:1 BIGRAM_let_alone:1 BIGRAM_alone_texas:1 BIGRAM_texas_crust:1 BIGRAM_crust_light:1 BIGRAM_light_flavorful:1 BIGRAM_flavorful_hand:1 BIGRAM_hand_tossed:1 BIGRAM_tossed_mama:1 BIGRAM_mama_'s:3 BIGRAM_'s_great:1 BIGRAM_great_sauce:1 BIGRAM_sauce_n't:1 BIGRAM_n't_leave:1 BIGRAM_leave_heartburn:1 BIGRAM_heartburn_use:1 BIGRAM_use_four:1 BIGRAM_four_cheeses:1 BIGRAM_cheeses_pizzas:1 BIGRAM_pizzas_corners:1 BIGRAM_corners_cut:1 BIGRAM_cut_menu:1 BIGRAM_menu_includes:1 BIGRAM_includes_tasty:1 BIGRAM_tasty_white:1 BIGRAM_white_pizzas:1 BIGRAM_pizzas_including:1 BIGRAM_including_margherita:1 BIGRAM_margherita_pesto:1 BIGRAM_pesto_pizza:1 BIGRAM_pizza_using:1 BIGRAM_using_fresh:1 BIGRAM_fresh_balsi:1 BIGRAM_balsi_leaves:1 BIGRAM_leaves_world:1 BIGRAM_world_salads:1 BIGRAM_salads_cheap:1 BIGRAM_cheap_good:1 BIGRAM_good_use:1 BIGRAM_use_mix:1 BIGRAM_mix_lettuces:1 BIGRAM_lettuces_greens:1 BIGRAM_greens_also:1 BIGRAM_also_calzone:1 BIGRAM_calzone_stromboli:1 BIGRAM_stromboli_addition:1 BIGRAM_addition_mama:1 BIGRAM_'s_often:1 BIGRAM_often_live:1 BIGRAM_live_jazz:1 BIGRAM_jazz_deck:1 BIGRAM_deck_back:1 BIGRAM_back_middle:1 BIGRAM_middle_week:1 BIGRAM_week_texas:1 BIGRAM_texas_gulf:1 BIGRAM_gulf_coast:1 BIGRAM_coast_want:1 BIGRAM_want_amazing:1 BIGRAM_amazing_pizza:1 BIGRAM_pizza_make:1 BIGRAM_make_trip:1 BIGRAM_trip_mama:1 BIGRAM_'s_wo:1 BIGRAM_wo_n't:1 BIGRAM_n't_disappointed:1 
positive  	UNI_dining:1 UNI_yoder:1 UNI_'s:3 UNI_provided:1 UNI_experience:1 UNI_unlike:1 UNI_staff:1 UNI_made:1 UNI_effort:1 UNI_provide:1 UNI_costumers:1 UNI_utmost:1 UNI_satisfaction:1 UNI_believe:1 UNI_pancakes:1 UNI_given:1 UNI_new:1 UNI_life:1 UNI_actually:1 UNI_cleared:1 UNI_acne:1 UNI_n't:1 UNI_purchase:1 UNI_medication:1 UNI_anymore:1 UNI_also:1 UNI_try:1 UNI_hot:1 UNI_chocolate:1 UNI_divine:1 BIGRAM_dining_yoder:1 BIGRAM_yoder_'s:1 BIGRAM_'s_provided:1 BIGRAM_provided_experience:1 BIGRAM_experience_unlike:1 BIGRAM_unlike_staff:1 BIGRAM_staff_made:1 BIGRAM_made_effort:1 BIGRAM_effort_provide:1 BIGRAM_provide_costumers:1 BIGRAM_costumers_utmost:1 BIGRAM_utmost_satisfaction:1 BIGRAM_satisfaction_believe:1 BIGRAM_believe_pancakes:1 BIGRAM_pancakes_given:1 BIGRAM_given_new:1 BIGRAM_new_life:1 BIGRAM_life_actually:1 BIGRAM_actually_cleared:1 BIGRAM_cleared_acne:1 BIGRAM_acne_n't:1 BIGRAM_n't_purchase:1 BIGRAM_purchase_medication:1 BIGRAM_medication_anymore:1 BIGRAM_anymore_also:1 BIGRAM_also_try:1 BIGRAM_try_hot:1 BIGRAM_hot_chocolate:1 BIGRAM_chocolate_'s:1 BIGRAM_'s_divine:1 
